,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
السنة ,الربع,القسم,متوسط الراتب,,,,الادارة العامة للـموارد البشرية
2026,الأول,مكتب الأمين ,20493.59,,,,
2026,الأول,الوحدة الاستشارية لشؤون القانونية ,14940.90,,,,
2026,الأول,وكالة شؤون الخصخصة,12237.06,,,,
2026,الأول,وكالة شؤون البلديات,9707.50,,,,
2026,الأول,مكتب تحقيق الرؤية,9211.97,,,,
2026,الأول,الادارة العامة لتنسيق المشروعات ,8179.67,,,,
2026,الأول,الادارة العامة للجودة و التميز المؤسسي ,7692.08,,,,
2026,الأول,إدارة الدعم والتنسيق ,6909.75,,,,
2026,الأول,مركز البيانات البلدية والإحصاء ,6710.14,,,,
2026,الأول,وكالة التعمير والمشاريع,6605.24,,,,
2026,الأول,بلدية محافظة البيضاء,6541.77,,,,
2026,الأول,الادارة العامة للأراضي والممتلكات,6497.99,,,,
2026,الأول,الادارة العامة للمراجعة الداخلية,6341.28,,,,
2026,الأول,الادارة العامة للموثوقية والأداء,6278.75,,,,
2026,الأول,وكالة البلديات,5977.74,,,,
2026,الأول,وكالة التحول الرقمي والمدن الذكية ,5896.85,,,,
2026,الأول,بلدية الظهران,5851.26,,,,
2026,الأول,الادارة العامة للعلاقات العامة ,5800.00,,,,
2026,الأول,الادارة العامة للشؤون القانونية,5793.76,,,,
2026,الأول,بلدية الدمام,5750.24,,,,
2026,الأول,وكالة الإسكان والتنمية ,5724.84,,,,
2026,الأول,الادارة العامة للشئون الادارية والمالية,5632.84,,,,
2026,الأول,وكالة الاستثمارات وتنمية الإيرادات ,5590.63,,,,
2026,الأول,بلدية وسط الدمام,5562.84,,,,
2026,الأول,الادارة العامة للتنظيم الإداري ,5418.68,,,,
2026,الأول,بلدية شرق الدمام,5399.18,,,,
2026,الأول,بلدية محافظة الخبر,5313.41,,,,
2026,الأول,بلدية غرب الدمام,5280.93,,,,
2026,الأول,الادارة العامة للموارد البشرية,5280.59,,,,
2026,الأول,وكالة الخدمات,5266.07,,,,
2026,الأول,الادارة العامة للحركة والدعم اللوجستي,5245.51,,,,
2026,الأول,الادارة العامة للأمن السيبراني ,5163.60,,,,
2026,الأول,الادارة العامة للإعلام ,4960.63,,,,
2026,الأول,الادارة العامة للامتثال ,4890.94,,,,
2026,الأول,مركز الازمات والمخاطر ,4873.84,,,,
2026,الأول,المجلس البلدي ,2110.00,,,,
