متوسط الرواتب  للادارات مع البدلات,,الإدارة / الوكالة,المكتب التنفيذي,مكتب تنسيق المشاريع,الوحدة المركزية لإعتماد المخططات,الإدارة العامة للطوائ والأزمات,مكتب الأمين,بلدية الشمال,بدلية الوسط,بلدية الجنوب,الإدارة العامة للشؤون القانونية,إدارة الأمن السيبراني,الإدارة العامة للموارد البشرية,وكالة تنمية الاستثمارات,وكالة المشاريع,وكالة الخدمات,الإدارة العامة لتقنية المعلومات,وكالة التخطيط الحضري والتراخيص,الإدارة العامة للحدائق والتجميل,وكالة التخطيط الاستراتيجي والأداء,الإدارة العامة للأراضي والممتلكات,الإدارة العامة للتميز المؤسسي والحوكمة,الإدارة العامة للمشاركة المجتمعية وخدمة المجتمع,الإدارة العامة للإعلام والتواصل المؤسسي
,عام 2022,متوسط الراتب,11330,13710,10627.5,9908.34,13263.07,8166,7948.3,9248.24,9408.18,11202.5,10398.75,9694,11670.41,12751,10552.3,21557,12731,0,10918,14452,8950,9840
,,متوسط بدل النقل,700,700,640,633.34,746.15,582.3,597.9,624.32,663.63,700,700,657.15,666.67,730,691.67,1150,700,0,676,800,500,600
,عام 2023,متوسط الراتب,8575,15907,10077,9679,16538,7821,7385,8885,9263,11592,10639,10375.9,12070,14076,990,10870,12696,4125,8081,9173,7714,10676
,,متوسط بدل النقل,620,800,616,633,811,575,581,615,650,700,700,636.6,694.7,758.8,666,675,700,500,620,600,550,600
,عام 2024,متوسط الراتب,7545,0,10754,9514,16670,12934,7502,8687,9428,12160,10326,10351,12542.5,12934.5,10864.4,11028.75,12098,4312.5,5202.5,9484.5,6888.34,10323
,,متوسط بدل النقل,566,0,654,614,741,771,590,617,671,700,671,657,705,771,670,675,700,500,550,630,533,650
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
